musicbrainz_id,type,score,name,spotify_id,followers,genres,popularity
28442ebf-7450-4eb1-96a9-ab771bc9cd80,Person,72,Иосиф Кобзон,0YMFQZ6CO0v8lm9rc2sFJ3,3279,"['classic russian pop', 'russian folk']",31
2abdd525-55ca-4263-b3b0-d5cdd8edbd02,Group,71,Сектор газа,4W4XLF8i9cHVqwASg8Kqv6,63295,"['classic russian rock', 'kavkaz', 'russian hip hop', 'russian punk', 'russian rock']",54
247efe0f-80f1-477c-a4a0-b5cb1b8c832e,Group,71,Nautilus Pompilius,3tYzkTZtYt5dGBSrAnWpX0,229206,"['classic russian rock', 'russian rock']",54
050c59c3-12d7-4d7e-b890-9ebcf0caa85d,Group,71,Messer Chups,756Li3sKcK4EdDiniLPqRl,28074,"['indie surf', 'instrumental surf', 'laboratorio', 'surf music']",39
e539699a-5cb3-4f73-b60f-691b1499d0af,Person,71,Михаил Иванович Глинка,,0,[],0
67e5938c-3953-4dfe-9d63-860bef0d8475,Orchestra,71,Государственный академический симфонический оркестр России,,0,[],0
b63b2ac8-4df4-4038-97a0-c79969b5e29b,Person,71,Булат Окуджава,0ZahzpqsK9YXqiThUYRcx5,15447,"['bard', 'classic russian rock', 'russian folk', 'russian rock']",33
2fccd72c-a3ba-4ca6-a89b-4024358c4f78,Person,71,Борис Гребенщиков,2rnZ3TYlGce0bg2ogrtShe,54055,"['bard', 'russian folk', 'russian rock']",43
e71738bd-39d4-4699-b6c2-688f95b31732,Person,70,Кристина Орбакайте,6Y8REoXE0D124BdBsHvpER,23764,"['classic russian pop', 'russian dance pop', 'russian pop']",46
cd673bce-4d0b-4272-b331-39772bb4995f,Person,70,Евгений Фёдорович Светланов,,0,[],0
c3f0d6a4-a413-4c40-9103-1638c4eb41ee,Person,70,Михаил Васильевич Плетнёв,,0,[],0
90595f34-e23e-4d0c-97cd-7d69b66e0727,Person,70,Геннадий Николаевич Рождественский,,0,[],0
baad262d-55ef-427a-83c7-f7530964f212,Group,70,Аркона,6AJ9HQ2Ptp1WWEfBFvR5fF,82512,"['folk metal', 'medieval folk', 'russian folk metal', 'russian metal', 'slavic folk metal', 'slavic metal']",41
