artist_spotify_id,name,spotify_id,duration_ms,explicit,popularity,album_type,album_name,album_spotify_id,release_date,album_popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
3MKCzCnpzw3TjUYs2v7vDA,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)",2xizRhme7pYeITbH1NLLGt,166866.0,0.0,64.0,album,Tchaikovsky: Swan Lake,7dVA06E7AP7P7VzPyNxQVO,1976,61.0,4,0,4,0.91,0.109,0.167,0.92,0.109,-18.669,0.0382,0.0692,86.554
3MKCzCnpzw3TjUYs2v7vDA,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers",0CJuLeZpCdqrqoCMXWZw8k,415813.0,0.0,59.0,album,Tchaikovsky: The Nutcracker (Standard Version),54Awn36ryf55PkZyOR4iwQ,2010-10-11,63.0,2,1,3,0.944,0.15,0.128,0.93,0.0703,-20.46,0.0459,0.113,46.771
3MKCzCnpzw3TjUYs2v7vDA,"Variations on a Rococo Theme, Op. 33 for cello and orchestra: Var. VI: Andante",123zFAGx0F5ScgrLrCWGDX,156573.0,0.0,58.0,album,"Elgar: Cello Concerto, Op. 85 - Tchaikovsky: Variations on a Rococo Theme Op. 33",1CTMjqapaLGF4Qi0fMtfuf,2013-09-23,54.0,2,1,5,0.965,0.204,0.0305,0.268,0.111,-31.159,0.0462,0.0394,114.214
3MKCzCnpzw3TjUYs2v7vDA,"Album for the Young, Op. 39: No. 3. Mamma (Maman)",4GjfVYoUJ0OCmDiL869kUJ,93506.0,0.0,54.0,album,"Piano Recital: Rosenberger, Carol - Kabalevsky, D. / Tchaikovsky, P. (Perchance To Dream - A Lullaby Album for Children and Adults)",2wiv4F0IkUWwFkv453uEkT,1993-01-01,49.0,7,1,4,0.996,0.418,0.00869,0.962,0.105,-37.257,0.0455,0.42,87.273
3MKCzCnpzw3TjUYs2v7vDA,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",7uf3aFC1msj0t5cYImgOWy,209373.0,0.0,53.0,album,Tchaikovsky: Serenade for Strings - Grieg: Holberg Suite - Mozart: Eine kleine Nachtmusik,6bB2g7YWY6IjetZBzRsWfE,2008-09-24,49.0,7,1,4,0.925,0.241,0.122,0.66,0.126,-22.411,0.0497,0.187,66.325
3MKCzCnpzw3TjUYs2v7vDA,Swan Lake,5OJCtnMqWmeGzkTJE3mpYr,173080.0,0.0,52.0,album,Classic,3gZv6Vq2Q2a300JEUV8Dq9,2020-02-07,64.0,4,0,4,0.965,0.114,0.357,0.853,0.111,-9.409,0.0368,0.0818,74.129
3MKCzCnpzw3TjUYs2v7vDA,"El Lago De Los Cisnes - Op. 20, Acto II: 10. Scene (Moderato)",5fUKjWT9DXC1yYRnvumMXe,186906.0,0.0,51.0,album,La Isla De Los Sonidos: La Ciudad Sin Luz,3f5yCclf7eGCbc6VUZAXZi,2011-11-15,52.0,11,0,4,0.931,0.099,0.123,0.944,0.162,-18.441,0.0403,0.0596,72.881
3MKCzCnpzw3TjUYs2v7vDA,Tchaikovsky : 1812 Overture Op.49,6mhQ7eOHaV0ur2ooKTavW1,905666.0,0.0,51.0,album,Tchaikovsky : Symphony No.5 & 1812 Overture,7nwyvRjkUjKKuxuHZWT1Hx,1996-01-01,47.0,3,1,4,0.886,0.173,0.182,0.894,0.224,-18.848,0.0437,0.0781,70.831
3MKCzCnpzw3TjUYs2v7vDA,"Tchaikovsky: The Nutcracker - Ballet, Op. 71, Act 1: No. 2 March",06am46cX3Z6YlSsg0TyVHA,145613.0,0.0,51.0,album,Tchaikovsky: The Nutcracker (Standard Version),54Awn36ryf55PkZyOR4iwQ,2010-10-11,63.0,4,0,4,0.977,0.442,0.116,0.868,0.0862,-23.172,0.0412,0.511,151.064
3MKCzCnpzw3TjUYs2v7vDA,The Nutcracker Suite,6XA3w8yEZ8Udpzvo9nRQjw,257040.0,0.0,50.0,album,Classic,3gZv6Vq2Q2a300JEUV8Dq9,2020-02-07,64.0,4,0,3,0.946,0.188,0.393,0.819,0.0969,-6.102,0.0361,0.0777,143.218
4kHtgiRnpmFIV5Tm4BIs8l,"Prokofiev: Romeo and Juliet, Op. 64, Act 1: No. 13, Dance of the Knights (Complete Ballet)",7HSs4srn1qnZhh7WRWBVOk,341693.0,0.0,56.0,album,Prokofiev: Romeo and Juliet,3M5idfqFUxge3skgZQu4R3,1973,52.0,0,1,4,0.927,0.209,0.101,0.9,0.0776,-19.383,0.0403,0.153,85.851
4kHtgiRnpmFIV5Tm4BIs8l,"Romeo And Juliet, Op.64 / Act 1: Dance Of The Knights",2LiWNkeUOAeibGxJKxmjsD,307826.0,0.0,51.0,album,Prokofiev: Romeo & Juliet,2wYzIASaoQtpXa16C5HvDZ,1973-01-01,48.0,0,1,3,0.786,0.199,0.0677,0.738,0.225,-20.879,0.039,0.145,78.866
4kHtgiRnpmFIV5Tm4BIs8l,"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro",3QqPgzOcv9titKufFR0gsQ,564640.0,0.0,50.0,album,Tchaikovsky: Piano Concerto No.1; Prokofiev: Piano Concerto No.3,5hOFetItodSTqXX2uKz5Pa,2014-01-01,46.0,0,1,4,0.948,0.353,0.254,0.859,0.0843,-16.205,0.0349,0.0986,133.808
4kHtgiRnpmFIV5Tm4BIs8l,"Romeo and Juliet, Op. 64: No. 13 Dance of the Knights",3YUmaXADZY1wdTrGCF4Fdw,344600.0,0.0,37.0,album,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,1994-02-26,35.0,0,1,4,0.893,0.136,0.0592,0.237,0.558,-24.904,0.0465,0.119,72.862
4kHtgiRnpmFIV5Tm4BIs8l,"Romeo & Juliet, Op. 64, Act I: No. 19, Balcony Scene",3M7FKsLgIGBDqsdnWVdKsF,198986.0,0.0,41.0,album,"Prokofiev: Romeo & Juliet, Op. 64",3t8FNzV8d0azSMZYtwVrXO,2018-03-09,39.0,1,1,4,0.833,0.102,0.00422,0.373,0.117,-31.252,0.0443,0.0396,85.73
4kHtgiRnpmFIV5Tm4BIs8l,"Etudes, Op. 2: II. Moderato",0ObfzRscbTwKrkI8kiaGEE,177000.0,0.0,40.0,album,Prokofiev: Visions fugitives,60q2KKhDwOk91NOiyU9VEi,2019-09-20,35.0,4,0,3,0.985,0.217,0.0589,0.94,0.0844,-28.101,0.0329,0.0386,135.506
4kHtgiRnpmFIV5Tm4BIs8l,"Lieutenant Kijé, Op. 60: II. Romance",0aEVxlKZ2Vk6Bt5UjZC98B,271440.0,0.0,37.0,album,Prokofiev: Lieutenant Kije Suite / Andante / Osenneye / the Tale of the Stone Flower (Excerpts),0Ic0DIzIKt1nuyUoLIy88m,1990-08-01,35.0,8,1,4,0.943,0.187,0.0169,0.891,0.101,-30.742,0.0359,0.0843,103.833
4kHtgiRnpmFIV5Tm4BIs8l,"Romeo and Juliet Suite No. 3, Op. 101: Aubade: Morning Serenade (Suite No. 3, Op. 101: V)",64XBcc7uVlo2cun1BiSjpg,160653.0,0.0,36.0,album,"Prokofiev: Romeo and Juliet, Suites Nos. 1-3",0j8zU4iCXIw7uFFQFJPkn8,2007-01-01,33.0,4,1,4,0.95,0.407,0.00722,0.0375,0.121,-38.706,0.0391,0.165,131.535
4kHtgiRnpmFIV5Tm4BIs8l,"Peter and the Wolf, Op. 67 (Remastered): The Story Begins",0wnXJy6kkLgLpcbFGnAXBI,51053.0,0.0,36.0,album,David Bowie narrates Prokofiev's Peter and the Wolf & The Young Person's Guide to the Orchestra,1ZDPe7QlFtKG0nSjHSKaSE,1978-05-02,41.0,7,1,3,0.785,0.356,0.222,0.848,0.387,-15.184,0.0341,0.161,100.292
4kHtgiRnpmFIV5Tm4BIs8l,"Sarcasms for Piano, Op. 17: III. Allegro precipitato",4Ba9iXKkC3PLo6JFhgXAu9,104652.0,0.0,36.0,single,"Prokofiev: Sarcasms for Piano, Op. 17: III. Allegro precipitato",5jFwYJmd6C4P9OSmjjoVoE,2020-10-09,31.0,5,0,4,0.958,0.417,0.307,0.837,0.0953,-21.619,0.0326,0.267,105.67
61Oq49nPScUCDWYAdAdgM1,Autochthon,5zIs4jgifvWk1mt7CdvjlM,227712.0,0.0,0.0,album,Raw Ethos Сhthonical,39tI5AFbuuVPtdISqtuMCi,2020-01-31,2.0,11,0,4,0.0572,0.332,0.545,0.785,0.579,-13.85,0.0486,0.206,109.702
61Oq49nPScUCDWYAdAdgM1,Ἦθος,6ouWj4L4PSkICpCbxICUF0,177920.0,0.0,0.0,album,Raw Ethos Сhthonical,39tI5AFbuuVPtdISqtuMCi,2020-01-31,2.0,11,0,4,0.00862,0.553,0.583,0.856,0.173,-13.899,0.0373,0.291,110.009
61Oq49nPScUCDWYAdAdgM1,"Зеркала озер, узоры дорог",1bbajb6YGGWVYWfRbwDkfk,186581.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0,11,0,4,0.0845,0.769,0.288,0.036,0.0831,-12.651,0.0528,0.0782,119.953
61Oq49nPScUCDWYAdAdgM1,Katadesmos,4xbfhQj3YEEydJFdVfPz6u,202335.0,0.0,0.0,album,Raw Ethos Сhthonical,39tI5AFbuuVPtdISqtuMCi,2020-01-31,2.0,11,0,4,0.0928,0.614,0.584,0.904,0.0982,-14.955,0.0582,0.224,110.009
61Oq49nPScUCDWYAdAdgM1,Географическая летопись,06Nl3Nr318GrV2JGuvvg3l,391498.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0,4,0,4,0.0545,0.262,0.762,0.9,0.208,-6.261,0.081,0.0741,139.957
61Oq49nPScUCDWYAdAdgM1,Время ландшафтных наблюдений,7EGIRYkO4oppAQuaTlefsS,280567.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0,6,1,4,2.1e-05,0.495,0.866,0.965,0.293,-8.289,0.0296,0.18,129.967
61Oq49nPScUCDWYAdAdgM1,Бортовой журнал аэростьера,3cJRz1SoVfNekvRznrDYxG,293766.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0,11,0,4,0.000887,0.388,0.594,0.86,0.416,-9.441,0.0396,0.159,120.017
61Oq49nPScUCDWYAdAdgM1,Между грозой и мерцанием звезд,27YFff7z0thBh7Iuh9VqfK,383999.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0,8,1,3,0.321,0.217,0.492,0.97,0.178,-10.955,0.0364,0.0379,129.942
61Oq49nPScUCDWYAdAdgM1,Дрейф над восточным склоном,0DOmbNIlrY9nG7rfsWaPwI,508501.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0,0,0,4,0.00153,0.35,0.587,0.708,0.454,-10.905,0.0308,0.0785,89.98
