mb_id,name,type
acd600ca-c550-4f13-8139-a2101b404b4e,19VIII4,Person
13dcf56d-aeb2-4842-9b49-50868a739617,23:45,Group
3e7108b0-91a7-4599-8313-38594939c8b5,25/17,Group
542e9c7e-295b-4ba9-a80b-50851ba0e28c,32 & Friends,
026f4e8f-2bd0-4c10-b1a7-822d8d31912a,38 попугаев,Group
3ade4ce0-a280-404d-803a-787e9a6cdd7c,39,Person
851ccc42-acbc-4023-830c-ff248950595e,39 Kingdom,Group
360f535d-2680-4501-9a97-98e47c099c02,40УКВ,Group
0de257d5-53aa-48e1-9cfc-4209d3abcb08,43ai,Person
d2c3a33a-8bf3-40cc-82af-ffc4bad89c4f,044 ARTY,Person
bf1c013f-a328-45cf-86e3-7921671bcadb,50K,Person
cd661658-397c-4f02-b316-d96367184e71,63 Регион,Group
56173800-4fb4-4267-907c-307b5623d00c,69,Person
ecb39bed-9e46-4dab-9d10-10b3a66c8bba,82-75,
b6059310-9b65-4bbd-b9ca-08950659925a,88тонн,Person
39ac457c-e3b4-4427-8c24-b00e4c6bea73,104,Person
0bf92f37-2242-4911-91d4-138fe465b6cb,110ml,
2e071b99-c201-4a20-b42f-7214b8379889,130 по встречной на старенькой Vespa,Group
2a1cc71d-fe4b-41e7-99f7-5350d376ed2b,140 ударов в минуту,Group
79b32f4d-7666-4cf5-95e3-6a279358215e,208 Talks of Angels,Group
462242d2-b14d-4a64-9956-a7c995e5da1d,210,Group
74d26dd4-aa94-4654-8bec-63519332590c,231,Group
1cafb939-6534-44ed-bb4b-c69f13d47f36,303 Project,Group
7cc99832-9688-4ce8-833f-93e351b0baf0,386 DX,Person
8e34c896-e146-4c15-aadb-6b0d1fbb5e41,417.3,Group
4e322be1-643d-4778-9113-6ee9517ea03f,600,Group
589aa0fd-9c58-4307-8e8f-50bcfcf91661,604V,Group
20196221-9ecf-4932-83b3-384c640f811c,720vozduha,Person
d346f993-83b9-42f7-8119-12600793bfde,777minus111,Person
cf1955cb-c511-4193-9a06-f1dabe6a4913,813,Person
a5d99356-2dd6-4f66-8a86-5873f5392da1,3000 миль до рая,Group
d6edd516-dbec-4017-9904-dc8251d05542,3110,Group
65cd8912-9b21-49db-ab26-e86427918f3d,3405,Group
f6aa4637-686b-45c2-ad8b-076eb36508af,7000$,Group
8083766a-fadd-4743-a8f7-d708d3ef92a4,7011,Group
bf9a5b72-30af-4499-bb46-f856ed412ec2,6000000000себя,Group
fd5e9bdd-2667-4bc0-a8ef-2cf79b7b9fe0,101011010101,
d377e473-df4a-4b2d-b95a-5cc9dd51c068,A Bit Advanced Music,
bea56748-f946-49c8-be64-f38bed8e1342,A Light in the Dark,Group
d8c2da0d-d5a1-4f92-b4bf-5a061864c86c,A Model Kit,Person
5473ae24-b1ec-4c3f-b438-4fbabb46cc21,A Murmur,Group
2f8bf404-0b12-4f78-a937-99272e83d5f7,A Young Man's Funeral,Group
aca306a7-1f68-44c0-b098-b381ee5161e2,A-Dessa,Person
da1fde63-f2c9-404a-8bf9-5f9661b5ec08,A-Koda,Person
a851bcf5-f764-4ea9-86ed-cf301ff831d1,A-Morality,Group
ea051aa3-8375-4613-a07e-19bdf2228289,A-QUARK,Person
fe200d3a-1d33-40eb-ad27-bcae1d79eae3,A-Rookie,Person
7edf48d5-0da6-484e-9cdb-9b792e9b1354,A-Sen,Person
24a90138-0739-4b72-8190-aef310a49499,A. Ilyin,Person
6c47a148-a7f7-4f4a-9707-bb4fd62554cb,A. Sergeyev,Person
26f9cca4-8185-4949-ba1a-f7d80478fb2d,A. Uvarov,Person
28df54f4-badd-48f9-aca7-c990b8cadd82,A.C.O.V.S.U.R.,Group
d9d87a3f-4eaf-452d-86cd-2322d07494f5,A.D.R.O.N.,Group
22ba6db0-ee48-4a22-a7f3-638340b3ce8a,A.G.E.,
8d3bc07c-3425-461f-9833-2f8f439260f0,A.L.O.N.E.,Group
