,artist_spotify_id,name,spotify_id,duration_ms,explicit,popularity,album_type,album_name,album_spotify_id,release_date,album_popularity
20,61Oq49nPScUCDWYAdAdgM1,Autochthon,5zIs4jgifvWk1mt7CdvjlM,227712.0,0.0,0.0,album,Raw Ethos Сhthonical,39tI5AFbuuVPtdISqtuMCi,2020-01-31,2.0
21,61Oq49nPScUCDWYAdAdgM1,Ἦθος,6ouWj4L4PSkICpCbxICUF0,177920.0,0.0,0.0,album,Raw Ethos Сhthonical,39tI5AFbuuVPtdISqtuMCi,2020-01-31,2.0
22,61Oq49nPScUCDWYAdAdgM1,"Зеркала озер, узоры дорог",1bbajb6YGGWVYWfRbwDkfk,186581.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0
23,61Oq49nPScUCDWYAdAdgM1,Katadesmos,4xbfhQj3YEEydJFdVfPz6u,202335.0,0.0,0.0,album,Raw Ethos Сhthonical,39tI5AFbuuVPtdISqtuMCi,2020-01-31,2.0
24,61Oq49nPScUCDWYAdAdgM1,Географическая летопись,06Nl3Nr318GrV2JGuvvg3l,391498.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0
25,61Oq49nPScUCDWYAdAdgM1,Время ландшафтных наблюдений,7EGIRYkO4oppAQuaTlefsS,280567.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0
26,61Oq49nPScUCDWYAdAdgM1,Бортовой журнал аэростьера,3cJRz1SoVfNekvRznrDYxG,293766.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0
27,61Oq49nPScUCDWYAdAdgM1,Между грозой и мерцанием звезд,27YFff7z0thBh7Iuh9VqfK,383999.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0
28,61Oq49nPScUCDWYAdAdgM1,Дрейф над восточным склоном,0DOmbNIlrY9nG7rfsWaPwI,508501.0,0.0,0.0,album,Музыка странствий: Аэронавтика,2KGESQQMd25MOLMe5stutG,2020-01-31,2.0
29,61Oq49nPScUCDWYAdAdgM1,Gerzeh,33sLSJnXycC20SCn8PPLQN,221907.0,0.0,0.0,album,Raw Ethos Сhthonical,39tI5AFbuuVPtdISqtuMCi,2020-01-31,2.0
30,0RVIZpggXkAvhGOW4EFfWG,Вавилон,2EJPAMzmaYxQiR28VnQcy4,208981.0,0.0,20.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
31,0RVIZpggXkAvhGOW4EFfWG,Иван И Данило,61G7e1DOt9BgvrDJznmcSP,349819.0,1.0,18.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
32,0RVIZpggXkAvhGOW4EFfWG,Вавилон Даб,6Pq188l4UwU5aDvUUKIxYu,346208.0,0.0,16.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
33,0RVIZpggXkAvhGOW4EFfWG,Кипение Аквариума На Ямайке,0DX5kY3FExm41MsdS7bgQP,38864.0,0.0,16.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
34,0RVIZpggXkAvhGOW4EFfWG,Рыба,6bcmGnzPLmnqFACan9SMzP,218906.0,0.0,15.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
35,0RVIZpggXkAvhGOW4EFfWG,Аристократ,6x6uCYleRbTa3W6qH42rBj,187623.0,0.0,15.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
36,0RVIZpggXkAvhGOW4EFfWG,Хтынь Мух,4RUvH5VLjjtiuAyx48WtB2,52711.0,0.0,13.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
37,0RVIZpggXkAvhGOW4EFfWG,Яблочные Дни,7s36UziB2dsOLuTm8RslSW,217440.0,0.0,13.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
38,0RVIZpggXkAvhGOW4EFfWG,Рыба Ест Вавилон,5Gw01zWWkYVjktfagk0hJQ,70773.0,0.0,13.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0
